transcript_id,ERR5060645,ERR5060646
transcript:Os06t0104050-00,9,11
transcript:Os11t0692400-01,0,0
transcript:Os02t0598900-01,0,0
transcript:Os01t0138500-01,123,149
transcript:Os01t0208800-01,0,0
transcript:Os09t0551500-00,22,31
transcript:Os04t0691466-00,0,1
transcript:Os09t0524300-00,12,0
transcript:ENSRNA049474563-T1,0,1
transcript:Os02t0754700-02,219,183
transcript:Os05t0517400-01,222,136
transcript:Os01t0744200-01,24,18
transcript:Os02t0754700-01,303,236
transcript:Os07t0108350-00,0,0
transcript:Os06t0472400-01,1664,1645
transcript:Os06t0472400-02,1,2
transcript:Os03t0694800-01,406,468
transcript:Os01t0326100-02,0,0
transcript:Os01t0326100-01,3,2
transcript:Os11t0616900-02,22,0
transcript:Os07t0531700-01,1303,1692
transcript:Os06t0314425-00,0,0
transcript:Os10t0536500-01,268,238
transcript:Os11t0616900-01,630,1202
transcript:Os12t0256600-01,0,324
transcript:Os01t0795400-02,1445,1785
transcript:Os01t0795400-01,47,576
transcript:Os05t0364550-00,0,0
transcript:Os02t0266000-01,320,387
transcript:Os04t0549800-00,0,0
transcript:Os12t0636900-01,0,0
transcript:ENSRNA049450871-T1,0,0
transcript:Os05t0454800-00,0,0
transcript:Os03t0441500-02,19,32
transcript:Os03t0441500-01,2245,3102
transcript:Os06t0325950-00,0,2
transcript:Os05t0495200-02,271,571
transcript:Os04t0585600-01,633,810
transcript:Os05t0495200-01,163,314
transcript:Os08t0516000-01,1696,2115
transcript:Os12t0596800-01,1760,1984
transcript:Os07t0190600-01,0,0
transcript:Os02t0726700-01,0,1
transcript:Os05t0226900-01,17,36
transcript:Os02t0726700-02,81,149
transcript:Os05t0285900-02,282,271
transcript:Os05t0285900-03,3,10
transcript:Os05t0285900-01,59,114
transcript:Os04t0453450-00,0,0
transcript:Os04t0213100-01,143,63
transcript:Os03t0663800-01,52846,139688
transcript:Os09t0124850-00,12,40
transcript:Os04t0611233-00,64,102
transcript:Os12t0239000-01,772,741
transcript:Os10t0150700-01,615,123
transcript:Os05t0503100-00,22,24
transcript:Os08t0442600-01,6,31
transcript:Os05t0541100-01,36,58
transcript:Os12t0267500-01,0,38
transcript:Os04t0615600-01,0,7
transcript:Os01t0306100-01,8,0
transcript:Os07t0495400-00,49,69
transcript:Os03t0202300-01,379,438
transcript:Os01t0757200-01,1008,1658
transcript:Os07t0535100-01,3,280
transcript:Os10t0194225-00,0,7
transcript:Os03t0314700-01,697,890
transcript:Os10t0492300-01,1230,1291
transcript:Os08t0415400-00,18,15
transcript:Os08t0130500-02,322,153
transcript:Os08t0130500-01,13339,19420
transcript:Os08t0469700-01,216,488
transcript:Os01t0850900-01,2539,4548
transcript:Os02t0271000-01,0,0
transcript:Os11t0209502-00,4,9
transcript:Os07t0123300-01,508,610
transcript:Os07t0631050-00,11,10
transcript:Os03t0328501-00,80,82
transcript:Os01t0893700-00,0,0
transcript:Os07t0481100-01,8,9
transcript:Os05t0447800-00,47,93
transcript:Os01t0541000-01,3182,4105
transcript:Os05t0488600-01,28,42
transcript:Os01t0869400-01,14,34
transcript:Os03t0635800-01,707,820
transcript:Os03t0832600-01,1975,3428
transcript:Os11t0483600-01,1117,1294
transcript:Os08t0153101-00,32,29
transcript:Os04t0569000-01,315,545
transcript:Os05t0564700-00,0,38
transcript:ENSRNA049449344-T1,0,0
transcript:ENSRNA050013663-T1,2,2
transcript:Os04t0506900-01,1387,1254
transcript:Os11t0112100-00,264,624
transcript:Os04t0506900-02,6968,8660
transcript:Os12t0142900-02,1523,1878
transcript:Os06t0472200-02,358,686
transcript:Os03t0832400-01,666,1291
transcript:Os11t0522900-01,117,191
transcript:Os07t0294700-01,0,12
transcript:Os08t0361000-01,603,768
transcript:Os03t0140650-00,52,51
transcript:Os05t0147700-00,0,4
transcript:Os03t0194900-01,370,1484
transcript:Os03t0194900-03,600,2039
transcript:Os03t0194900-02,51,66
transcript:Os02t0769800-01,188,452
transcript:Os07t0511100-00,4,7
transcript:Os07t0271550-00,0,26
transcript:Os02t0730700-02,6919,10865
transcript:Os04t0548300-01,810,921
transcript:Os03t0841600-02,58,471
transcript:Os03t0841600-01,0,1
transcript:Os04t0548300-02,128,155
transcript:Os06t0483900-01,292,163
transcript:Os11t0106550-00,9,18
transcript:Os05t0142000-01,12,41
transcript:Os02t0799300-02,524,285
transcript:Os02t0799300-01,1220,2110
transcript:Os07t0679050-00,3,12
transcript:Os08t0190100-01,0,25
transcript:Os12t0194700-01,372,359
transcript:Os03t0169300-01,22,30
transcript:Os01t0802100-01,586,990
transcript:Os07t0141700-00,181,220
transcript:Os01t0179300-02,1,1
transcript:Os01t0823400-01,40,60
transcript:Os01t0179300-01,5785,6898
transcript:Os07t0182200-01,788,1294
transcript:Os09t0334800-01,44,69
transcript:Os05t0212900-00,0,0
transcript:Os05t0526466-00,0,0
transcript:Os05t0560100-01,0,21
transcript:Os02t0117800-01,326,393
transcript:Os06t0537700-01,102,109
