gene_id,ERR5060645,ERR5060646
gene:Os02g0186200,495,836
gene:Os08g0431200,14,18
gene:Os03g0117200,702,830
gene:Os04g0448950,50,112
gene:Os05g0381600,256,324
gene:Os01g0685200,75,114
gene:Os01g0831800,0,0
gene:Os01g0186000,7,34
gene:Os08g0529200,0,0
gene:Os12g0299300,1730,2295
gene:Os01g0826400,46,276
gene:Os05g0368501,0,0
gene:Os01g0773500,28,26
gene:Os09g0416800,1953,3308
gene:Os02g0561900,0,10
gene:Os12g0160400,3335,4369
gene:Os01g0340100,2,0
gene:Os08g0445250,0,0
gene:Os05g0560100,0,21
gene:Os04g0557000,144,273
gene:Os06g0627400,8,28
gene:Os02g0773200,610,1138
gene:Os07g0592100,127,274
gene:Os03g0681700,1315,1661
gene:Os10g0472050,0,0
gene:Os06g0308800,1229,3251
gene:Os11g0183700,2241,3170
gene:Os02g0219000,0,0
gene:Os02g0580700,506,759
gene:Os05g0539700,10661,8636
gene:Os03g0187100,2509,2963
gene:Os01g0212500,26,44
gene:Os09g0437951,48,38
gene:Os11g0143233,0,4
gene:Os09g0361400,4585,5550
gene:Os02g0572000,0,25
gene:Os08g0174800,862,1728
gene:Os01g0648000,926,844
gene:Os07g0175500,20,34
gene:Os04g0322100,1,28
gene:Os02g0135000,0,0
gene:Os08g0363900,32,30
gene:Os05g0409400,104,103
gene:Os01g0230700,0,0
gene:Os12g0502100,361,393
gene:Os03g0126300,194,246
gene:Os11g0146550,4,0
gene:Os10g0547200,3,7
gene:Os07g0565350,2,18
gene:Os01g0693800,721,1184
gene:Os12g0489100,3152,4033
gene:Os11g0220600,0,0
gene:Os01g0652375,73,199
gene:Os10g0501300,300,420
gene:Os01g0824800,45,255
gene:Os03g0106350,0,3
gene:Os04g0556350,0,16
gene:Os08g0559900,1178,1657
gene:Os01g0771900,1708,2182
gene:Os05g0490300,702,985
gene:Os07g0646300,1238,1723
gene:Os09g0458600,85,166
gene:Os01g0113400,383,431
gene:Os02g0657700,442,983
gene:Os04g0259150,83,52
gene:Os07g0617901,0,0
gene:Os08g0124250,0,0
gene:Os08g0153101,32,29
gene:Os05g0328300,88,60
gene:Os06g0305400,0,0
gene:Os06g0642400,0,0
gene:Os01g0933200,1873,3067
gene:Os07g0546600,151,115
gene:Os02g0160400,8,8
gene:Os01g0239700,572,1149
gene:Os02g0747600,1991,2410
gene:Os07g0259100,858,1740
gene:Os01g0661500,8897,10503
gene:Os01g0636200,0,0
gene:Os02g0806400,913,1208
gene:Os03g0139500,27,98
gene:Os04g0586200,647,1147
gene:Os01g0510200,33,252
gene:Os04g0562650,0,13
gene:Os10g0163340,0,8
gene:Os05g0256250,9,3
gene:Os10g0130132,0,0
gene:Os11g0706700,0,0
gene:Os03g0332400,1959,2502
gene:Os09g0444200,2035,2376
gene:Os02g0126300,4,3
gene:Os02g0215200,208,898
gene:Os09g0451000,2179,4253
gene:Os09g0123100,1729,2624
gene:Os07g0615500,23272,16058
gene:Os11g0163575,13,0
gene:Os02g0643800,26,27
gene:Os06g0724000,41,69
gene:Os08g0544400,8269,16494
gene:Os11g0600900,374,622
gene:Os07g0244900,0,0
gene:Os10g0422200,87,116
gene:Os09g0238700,58,46
gene:Os03g0577500,1694,2715
gene:Os05g0116700,172,298
gene:Os10g0577700,356,379
gene:Os02g0291600,0,0
gene:Os08g0334300,0,6
gene:Os05g0317200,10975,12769
gene:Os04g0165600,121,188
gene:Os02g0644466,102,145
gene:Os11g0481150,68,79
gene:Os07g0561300,92,161
gene:Os10g0122500,0,0
gene:Os08g0481950,1579,2635
gene:Os01g0221300,388,496
gene:Os12g0497544,2,3
gene:Os09g0261900,172,174
gene:Os01g0910450,0,0
gene:Os12g0133700,249,311
gene:Os01g0869900,4639,5531
gene:Os09g0281600,5620,7358
gene:Os11g0557400,39,73
gene:Os01g0550800,6,10
gene:Os01g0858700,172,268
gene:Os03g0298600,535,754
gene:Os04g0436800,134,167
gene:Os02g0166800,155,263
gene:Os12g0619700,0,0
gene:ENSRNA049446925,0,0
gene:Os03g0612201,0,0
gene:Os08g0230300,350,479
gene:Os05g0481700,0,0
gene:Os03g0258000,56,32
gene:Os06g0105400,1355,2155
gene:Os08g0242800,390,628
gene:Os09g0405001,0,0
gene:Os11g0160000,5,13
gene:Os01g0869300,117,106
gene:Os02g0773700,0,2
gene:Os03g0194900,1021,3589
gene:Os07g0479300,2444,3941
gene:Os05g0202550,0,0
gene:Os09g0554000,236,230
gene:Os01g0101150,47,76
gene:Os07g0200801,0,0
gene:Os07g0276000,242,176
gene:Os03g0294032,167,135
gene:Os06g0646400,7767,10027
gene:Os06g0265950,28,27
gene:Os09g0445550,0,3
gene:Os09g0113000,222,475
gene:Os02g0813600,181,790
gene:Os10g0432400,0,0
gene:Os04g0500900,29,12
gene:Os03g0310633,0,55
gene:Os12g0613850,675,884
gene:Os04g0416450,14,34
gene:Os06g0692100,22,107
gene:Os06g0107800,0,0
gene:Os12g0605850,2,9
gene:Os07g0118300,369,460
gene:Os02g0532300,1139,2185
gene:Os04g0158750,0,0
gene:Os02g0776700,2455,3425
gene:Os03g0310800,1433,1827
gene:Os01g0556400,2488,4047
gene:Os07g0275801,0,0
gene:Os04g0517500,148,231
gene:Os07g0535100,3,280
gene:Os03g0337700,291,389
gene:Os06g0570100,882,909
